L,a_x,a_y,alfa,omega,theta,time,v_x,v_x_noisy,v_y,v_y_noisy,x,y,||a||,||v||
10.069367,-4.905000,-4.905000,-0.693672,0.000000,0.785398,0.000000,0.000000,0.000000,0.000000,0.000000,7.120118,-7.120118,6.936718,0.000000
10.069367,-4.939025,-4.939025,-0.693672,-0.006937,0.785398,0.010000,-0.049390,-0.049089,-0.049390,-0.046706,7.120118,-7.120118,6.984836,0.069848
10.069372,-4.939027,-4.938342,-0.693624,-0.013873,0.785329,0.020000,-0.098787,-0.102167,-0.098774,-0.093464,7.119627,-7.120615,6.984354,0.139697
10.069382,-4.939031,-4.936976,-0.693527,-0.020810,0.785190,0.030000,-0.148198,-0.148445,-0.148137,-0.153654,7.118646,-7.121610,6.983392,0.209541
10.069396,-4.939037,-4.934928,-0.693383,-0.027745,0.784982,0.040000,-0.197630,-0.197962,-0.197466,-0.192266,7.117174,-7.123101,6.981948,0.279375
10.069415,-4.939043,-4.932196,-0.693190,-0.034679,0.784705,0.050000,-0.247089,-0.252804,-0.246747,-0.249223,7.115211,-7.125089,6.980022,0.349195
10.069439,-4.939049,-4.928782,-0.692950,-0.041611,0.784358,0.060000,-0.296583,-0.328090,-0.295967,-0.301468,7.112757,-7.127573,6.977615,0.418996
10.069468,-4.939053,-4.924686,-0.692661,-0.048540,0.783942,0.070000,-0.346118,-0.363787,-0.345111,-0.358630,7.109811,-7.130553,6.974724,0.488774
10.069502,-4.939053,-4.919908,-0.692323,-0.055467,0.783456,0.080000,-0.395702,-0.393172,-0.394168,-0.387530,7.106372,-7.134027,6.971351,0.558523
10.069540,-4.939048,-4.914447,-0.691938,-0.062390,0.782902,0.090000,-0.445340,-0.430039,-0.443121,-0.472111,7.102441,-7.137994,6.967495,0.628239
10.069583,-4.939034,-4.908306,-0.691504,-0.069309,0.782278,0.100000,-0.495039,-0.471875,-0.491959,-0.426225,7.098017,-7.142455,6.963155,0.697917
10.069631,-4.939010,-4.901482,-0.691021,-0.076224,0.781585,0.110000,-0.544807,-0.523757,-0.540667,-0.526568,7.093099,-7.147407,6.958330,0.767552
10.069684,-4.938973,-4.893979,-0.690490,-0.083135,0.780822,0.120000,-0.594650,-0.534730,-0.589232,-0.590716,7.087686,-7.152849,6.953020,0.837140
